1/36. Count of epochs: 10; batch size: 50; learning rate: 0.02000...
-------------------------------------------------------------------------------------------
Epoch 188/1000... Training accuracy.: 0.95612; testing accuracy.: 0.95500
Training loss: 1.50732; testing loss: 1.50642;
-------------------------------------------------------------------------------------------
Epoch 189/1000... Training accuracy.: 0.95613; testing accuracy.: 0.92000
Training loss: 1.50731; testing loss: 1.54155;
-------------------------------------------------------------------------------------------
Epoch 190/1000... Training accuracy.: 0.95610; testing accuracy.: 0.95000
Training loss: 1.50732; testing loss: 1.51440;
-------------------------------------------------------------------------------------------
Epoch 191/1000... Training accuracy.: 0.95615; testing accuracy.: 0.92000
Training loss: 1.50725; testing loss: 1.53966;
-------------------------------------------------------------------------------------------
Epoch 192/1000... Training accuracy.: 0.95613; testing accuracy.: 0.94000
Training loss: 1.50721; testing loss: 1.52117;
-------------------------------------------------------------------------------------------
Epoch 193/1000... Training accuracy.: 0.95613; testing accuracy.: 0.90500
Training loss: 1.50724; testing loss: 1.55081;
-------------------------------------------------------------------------------------------
Epoch 194/1000... Training accuracy.: 0.95617; testing accuracy.: 0.92000
Training loss: 1.50717; testing loss: 1.54012;
-------------------------------------------------------------------------------------------
Epoch 195/1000... Training accuracy.: 0.95622; testing accuracy.: 0.96000
Training loss: 1.50718; testing loss: 1.49907;
-------------------------------------------------------------------------------------------
Epoch 196/1000... Training accuracy.: 0.95613; testing accuracy.: 0.94500
Training loss: 1.50720; testing loss: 1.51776;
-------------------------------------------------------------------------------------------
Epoch 197/1000... Training accuracy.: 0.95613; testing accuracy.: 0.92000
Training loss: 1.50715; testing loss: 1.54551;
-------------------------------------------------------------------------------------------
Epoch 198/1000... Training accuracy.: 0.95610; testing accuracy.: 0.92000
Training loss: 1.50716; testing loss: 1.53819;
-------------------------------------------------------------------------------------------
Epoch 199/1000... Training accuracy.: 0.95612; testing accuracy.: 0.92000
Training loss: 1.50712; testing loss: 1.54109;
-------------------------------------------------------------------------------------------
Epoch 200/1000... Training accuracy.: 0.95620; testing accuracy.: 0.90500
Training loss: 1.50713; testing loss: 1.55453;
-------------------------------------------------------------------------------------------
Epoch 201/1000... Training accuracy.: 0.95615; testing accuracy.: 0.94000
Training loss: 1.50714; testing loss: 1.52096;
-------------------------------------------------------------------------------------------
Epoch 202/1000... Training accuracy.: 0.95620; testing accuracy.: 0.93500
Training loss: 1.50707; testing loss: 1.52811;
-------------------------------------------------------------------------------------------
Epoch 203/1000... Training accuracy.: 0.95613; testing accuracy.: 0.91500
Training loss: 1.50707; testing loss: 1.54604;
-------------------------------------------------------------------------------------------
Epoch 204/1000... Training accuracy.: 0.95617; testing accuracy.: 0.93500
Training loss: 1.50705; testing loss: 1.52928;
-------------------------------------------------------------------------------------------
Epoch 205/1000... Training accuracy.: 0.95613; testing accuracy.: 0.95000
Training loss: 1.50707; testing loss: 1.51041;
-------------------------------------------------------------------------------------------
Epoch 206/1000... Training accuracy.: 0.95618; testing accuracy.: 0.92000
Training loss: 1.50704; testing loss: 1.54168;
-------------------------------------------------------------------------------------------
Epoch 207/1000... Training accuracy.: 0.95618; testing accuracy.: 0.92500
Training loss: 1.50704; testing loss: 1.53858;
-------------------------------------------------------------------------------------------
Epoch 208/1000... Training accuracy.: 0.95623; testing accuracy.: 0.91000
Training loss: 1.50700; testing loss: 1.55187;
-------------------------------------------------------------------------------------------
Epoch 209/1000... Training accuracy.: 0.95627; testing accuracy.: 0.92000
Training loss: 1.50697; testing loss: 1.53512;
-------------------------------------------------------------------------------------------
Epoch 210/1000... Training accuracy.: 0.95620; testing accuracy.: 0.93500
Training loss: 1.50698; testing loss: 1.52108;
-------------------------------------------------------------------------------------------
Epoch 211/1000... Training accuracy.: 0.95615; testing accuracy.: 0.91500
Training loss: 1.50699; testing loss: 1.54243;
-------------------------------------------------------------------------------------------
Epoch 212/1000... Training accuracy.: 0.95622; testing accuracy.: 0.94500
Training loss: 1.50696; testing loss: 1.51678;
-------------------------------------------------------------------------------------------
Epoch 213/1000... Training accuracy.: 0.95618; testing accuracy.: 0.94000
Training loss: 1.50693; testing loss: 1.52276;
-------------------------------------------------------------------------------------------
Epoch 214/1000... Training accuracy.: 0.95625; testing accuracy.: 0.92500
Training loss: 1.50691; testing loss: 1.53481;
-------------------------------------------------------------------------------------------
Epoch 215/1000... Training accuracy.: 0.95620; testing accuracy.: 0.94000
Training loss: 1.50693; testing loss: 1.52130;
-------------------------------------------------------------------------------------------
Epoch 216/1000... Training accuracy.: 0.95625; testing accuracy.: 0.94500
Training loss: 1.50693; testing loss: 1.51960;
-------------------------------------------------------------------------------------------
Epoch 217/1000... Training accuracy.: 0.95627; testing accuracy.: 0.95000
Training loss: 1.50693; testing loss: 1.51248;
-------------------------------------------------------------------------------------------
Epoch 218/1000... Training accuracy.: 0.95620; testing accuracy.: 0.95500
Training loss: 1.50688; testing loss: 1.50582;
-------------------------------------------------------------------------------------------
Epoch 219/1000... Training accuracy.: 0.95620; testing accuracy.: 0.93500
Training loss: 1.50687; testing loss: 1.52700;
-------------------------------------------------------------------------------------------
Epoch 220/1000... Training accuracy.: 0.95625; testing accuracy.: 0.92000
Training loss: 1.50686; testing loss: 1.54024;
-------------------------------------------------------------------------------------------
Epoch 221/1000... Training accuracy.: 0.95627; testing accuracy.: 0.94500
Training loss: 1.50685; testing loss: 1.51574;
-------------------------------------------------------------------------------------------
Epoch 222/1000... Training accuracy.: 0.95622; testing accuracy.: 0.95000
Training loss: 1.50684; testing loss: 1.51097;
-------------------------------------------------------------------------------------------
Epoch 223/1000... Training accuracy.: 0.95622; testing accuracy.: 0.92500
Training loss: 1.50682; testing loss: 1.53645;
-------------------------------------------------------------------------------------------
Epoch 224/1000... Training accuracy.: 0.95625; testing accuracy.: 0.91000
Training loss: 1.50682; testing loss: 1.54801;
-------------------------------------------------------------------------------------------
Epoch 225/1000... Training accuracy.: 0.95627; testing accuracy.: 0.91000
Training loss: 1.50683; testing loss: 1.54964;
-------------------------------------------------------------------------------------------
Epoch 226/1000... Training accuracy.: 0.95627; testing accuracy.: 0.93000
Training loss: 1.50678; testing loss: 1.53037;
-------------------------------------------------------------------------------------------
Epoch 227/1000... Training accuracy.: 0.95633; testing accuracy.: 0.89000
Training loss: 1.50676; testing loss: 1.56957;
-------------------------------------------------------------------------------------------
Epoch 228/1000... Training accuracy.: 0.95633; testing accuracy.: 0.96000
Training loss: 1.50674; testing loss: 1.49636;
-------------------------------------------------------------------------------------------
Epoch 229/1000... Training accuracy.: 0.95632; testing accuracy.: 0.95500
Training loss: 1.50673; testing loss: 1.51271;
-------------------------------------------------------------------------------------------
Epoch 230/1000... Training accuracy.: 0.95623; testing accuracy.: 0.91500
Training loss: 1.50672; testing loss: 1.54787;
-------------------------------------------------------------------------------------------
Epoch 231/1000... Training accuracy.: 0.95633; testing accuracy.: 0.90000
Training loss: 1.50673; testing loss: 1.56119;
-------------------------------------------------------------------------------------------
Epoch 232/1000... Training accuracy.: 0.95635; testing accuracy.: 0.93000
Training loss: 1.50668; testing loss: 1.52887;
-------------------------------------------------------------------------------------------
Epoch 233/1000... Training accuracy.: 0.95633; testing accuracy.: 0.93000
Training loss: 1.50670; testing loss: 1.53272;
-------------------------------------------------------------------------------------------
Epoch 234/1000... Training accuracy.: 0.95640; testing accuracy.: 0.93500
Training loss: 1.50670; testing loss: 1.52582;
-------------------------------------------------------------------------------------------
Epoch 235/1000... Training accuracy.: 0.95630; testing accuracy.: 0.93000
Training loss: 1.50667; testing loss: 1.52888;
-------------------------------------------------------------------------------------------
Epoch 236/1000... Training accuracy.: 0.95633; testing accuracy.: 0.91000
Training loss: 1.50665; testing loss: 1.55031;
-------------------------------------------------------------------------------------------
Epoch 237/1000... Training accuracy.: 0.95632; testing accuracy.: 0.95500
Training loss: 1.50666; testing loss: 1.50834;
-------------------------------------------------------------------------------------------
Epoch 238/1000... Training accuracy.: 0.95637; testing accuracy.: 0.89000
Training loss: 1.50664; testing loss: 1.56467;
-------------------------------------------------------------------------------------------
Epoch 239/1000... Training accuracy.: 0.95635; testing accuracy.: 0.94500
Training loss: 1.50663; testing loss: 1.52396;
-------------------------------------------------------------------------------------------
Epoch 240/1000... Training accuracy.: 0.95638; testing accuracy.: 0.91000
Training loss: 1.50663; testing loss: 1.54577;
-------------------------------------------------------------------------------------------
Epoch 241/1000... Training accuracy.: 0.95635; testing accuracy.: 0.92500
Training loss: 1.50661; testing loss: 1.53799;
-------------------------------------------------------------------------------------------
Epoch 242/1000... Training accuracy.: 0.95637; testing accuracy.: 0.91500
Training loss: 1.50657; testing loss: 1.54481;
-------------------------------------------------------------------------------------------
Epoch 243/1000... Training accuracy.: 0.95635; testing accuracy.: 0.91500
Training loss: 1.50659; testing loss: 1.54383;
-------------------------------------------------------------------------------------------
Epoch 244/1000... Training accuracy.: 0.95635; testing accuracy.: 0.92000
Training loss: 1.50659; testing loss: 1.54171;
-------------------------------------------------------------------------------------------
Epoch 245/1000... Training accuracy.: 0.95635; testing accuracy.: 0.95000
Training loss: 1.50657; testing loss: 1.51702;
-------------------------------------------------------------------------------------------
Epoch 246/1000... Training accuracy.: 0.95637; testing accuracy.: 0.93500
Training loss: 1.50655; testing loss: 1.52594;
-------------------------------------------------------------------------------------------
Epoch 247/1000... Training accuracy.: 0.95642; testing accuracy.: 0.93000
Training loss: 1.50654; testing loss: 1.53586;
-------------------------------------------------------------------------------------------
Epoch 248/1000... Training accuracy.: 0.95637; testing accuracy.: 0.95500
Training loss: 1.50652; testing loss: 1.50773;
-------------------------------------------------------------------------------------------
Epoch 249/1000... Training accuracy.: 0.95637; testing accuracy.: 0.95000
Training loss: 1.50653; testing loss: 1.51658;
-------------------------------------------------------------------------------------------
Epoch 250/1000... Training accuracy.: 0.95640; testing accuracy.: 0.93000
Training loss: 1.50652; testing loss: 1.53575;
-------------------------------------------------------------------------------------------
Epoch 251/1000... Training accuracy.: 0.95645; testing accuracy.: 0.95000
Training loss: 1.50649; testing loss: 1.51161;
-------------------------------------------------------------------------------------------
Epoch 252/1000... Training accuracy.: 0.95635; testing accuracy.: 0.90500
Training loss: 1.50647; testing loss: 1.55039;
-------------------------------------------------------------------------------------------
Epoch 253/1000... Training accuracy.: 0.95640; testing accuracy.: 0.90500
Training loss: 1.50649; testing loss: 1.55549;
-------------------------------------------------------------------------------------------
Epoch 254/1000... Training accuracy.: 0.95638; testing accuracy.: 0.94000
Training loss: 1.50649; testing loss: 1.52495;
-------------------------------------------------------------------------------------------
Epoch 255/1000... Training accuracy.: 0.95637; testing accuracy.: 0.94500
Training loss: 1.50649; testing loss: 1.51604;
-------------------------------------------------------------------------------------------
Epoch 256/1000... Training accuracy.: 0.95643; testing accuracy.: 0.91500
Training loss: 1.50646; testing loss: 1.54354;
-------------------------------------------------------------------------------------------
Epoch 257/1000... Training accuracy.: 0.95642; testing accuracy.: 0.91500
Training loss: 1.50646; testing loss: 1.54115;
-------------------------------------------------------------------------------------------
Epoch 258/1000... Training accuracy.: 0.95640; testing accuracy.: 0.92500
Training loss: 1.50644; testing loss: 1.53860;
-------------------------------------------------------------------------------------------
Epoch 259/1000... Training accuracy.: 0.95645; testing accuracy.: 0.93000
Training loss: 1.50643; testing loss: 1.53039;
-------------------------------------------------------------------------------------------
Epoch 260/1000... Training accuracy.: 0.95645; testing accuracy.: 0.92500
Training loss: 1.50641; testing loss: 1.53945;
-------------------------------------------------------------------------------------------
Epoch 261/1000... Training accuracy.: 0.95640; testing accuracy.: 0.90500
Training loss: 1.50640; testing loss: 1.55020;
-------------------------------------------------------------------------------------------
Epoch 262/1000... Training accuracy.: 0.95643; testing accuracy.: 0.93500
Training loss: 1.50638; testing loss: 1.52627;
-------------------------------------------------------------------------------------------
Epoch 263/1000... Training accuracy.: 0.95645; testing accuracy.: 0.94500
Training loss: 1.50638; testing loss: 1.51675;
-------------------------------------------------------------------------------------------
Epoch 264/1000... Training accuracy.: 0.95650; testing accuracy.: 0.90500
Training loss: 1.50637; testing loss: 1.55668;
-------------------------------------------------------------------------------------------
Epoch 265/1000... Training accuracy.: 0.95648; testing accuracy.: 0.95000
Training loss: 1.50637; testing loss: 1.51313;
-------------------------------------------------------------------------------------------
Epoch 266/1000... Training accuracy.: 0.95645; testing accuracy.: 0.93000
Training loss: 1.50637; testing loss: 1.53080;
-------------------------------------------------------------------------------------------
Epoch 267/1000... Training accuracy.: 0.95647; testing accuracy.: 0.92500
Training loss: 1.50635; testing loss: 1.53639;
-------------------------------------------------------------------------------------------
Epoch 268/1000... Training accuracy.: 0.95650; testing accuracy.: 0.94000
Training loss: 1.50635; testing loss: 1.52326;
-------------------------------------------------------------------------------------------
Epoch 269/1000... Training accuracy.: 0.95647; testing accuracy.: 0.93000
Training loss: 1.50632; testing loss: 1.52969;
-------------------------------------------------------------------------------------------
Epoch 270/1000... Training accuracy.: 0.95648; testing accuracy.: 0.93000
Training loss: 1.50630; testing loss: 1.52896;
-------------------------------------------------------------------------------------------
Epoch 271/1000... Training accuracy.: 0.95647; testing accuracy.: 0.96500
Training loss: 1.50632; testing loss: 1.50011;
-------------------------------------------------------------------------------------------
Epoch 272/1000... Training accuracy.: 0.95650; testing accuracy.: 0.91000
Training loss: 1.50630; testing loss: 1.55166;
-------------------------------------------------------------------------------------------
Epoch 273/1000... Training accuracy.: 0.95650; testing accuracy.: 0.94000
Training loss: 1.50631; testing loss: 1.52265;
-------------------------------------------------------------------------------------------
Epoch 274/1000... Training accuracy.: 0.95652; testing accuracy.: 0.92500
Training loss: 1.50629; testing loss: 1.53266;
-------------------------------------------------------------------------------------------
Epoch 275/1000... Training accuracy.: 0.95647; testing accuracy.: 0.95000
Training loss: 1.50628; testing loss: 1.51242;
-------------------------------------------------------------------------------------------
Epoch 276/1000... Training accuracy.: 0.95650; testing accuracy.: 0.93500
Training loss: 1.50629; testing loss: 1.52446;
-------------------------------------------------------------------------------------------
Epoch 277/1000... Training accuracy.: 0.95648; testing accuracy.: 0.90000
Training loss: 1.50626; testing loss: 1.56069;
-------------------------------------------------------------------------------------------
Epoch 278/1000... Training accuracy.: 0.95647; testing accuracy.: 0.92000
Training loss: 1.50625; testing loss: 1.54470;
-------------------------------------------------------------------------------------------
Epoch 279/1000... Training accuracy.: 0.95647; testing accuracy.: 0.93000
Training loss: 1.50624; testing loss: 1.52812;
-------------------------------------------------------------------------------------------
Epoch 280/1000... Training accuracy.: 0.95652; testing accuracy.: 0.89500
Training loss: 1.50623; testing loss: 1.56712;
-------------------------------------------------------------------------------------------
Epoch 281/1000... Training accuracy.: 0.95650; testing accuracy.: 0.95000
Training loss: 1.50624; testing loss: 1.50759;
-------------------------------------------------------------------------------------------
Epoch 282/1000... Training accuracy.: 0.95652; testing accuracy.: 0.94500
Training loss: 1.50621; testing loss: 1.51922;
-------------------------------------------------------------------------------------------
Epoch 283/1000... Training accuracy.: 0.95650; testing accuracy.: 0.95000
Training loss: 1.50621; testing loss: 1.50976;
-------------------------------------------------------------------------------------------
Epoch 284/1000... Training accuracy.: 0.95652; testing accuracy.: 0.91500
Training loss: 1.50621; testing loss: 1.54643;
-------------------------------------------------------------------------------------------
Epoch 285/1000... Training accuracy.: 0.95655; testing accuracy.: 0.93000
Training loss: 1.50620; testing loss: 1.52468;
-------------------------------------------------------------------------------------------
Epoch 286/1000... Training accuracy.: 0.95650; testing accuracy.: 0.93500
Training loss: 1.50618; testing loss: 1.52509;
-------------------------------------------------------------------------------------------
Epoch 287/1000... Training accuracy.: 0.95653; testing accuracy.: 0.92500
Training loss: 1.50618; testing loss: 1.53417;
-------------------------------------------------------------------------------------------
Epoch 288/1000... Training accuracy.: 0.95652; testing accuracy.: 0.93000
Training loss: 1.50618; testing loss: 1.53043;
-------------------------------------------------------------------------------------------
Epoch 289/1000... Training accuracy.: 0.95652; testing accuracy.: 0.94500
Training loss: 1.50616; testing loss: 1.51501;
-------------------------------------------------------------------------------------------
Epoch 290/1000... Training accuracy.: 0.95657; testing accuracy.: 0.93000
Training loss: 1.50615; testing loss: 1.52830;
-------------------------------------------------------------------------------------------
Epoch 291/1000... Training accuracy.: 0.95655; testing accuracy.: 0.93500
Training loss: 1.50614; testing loss: 1.52781;
-------------------------------------------------------------------------------------------
Epoch 292/1000... Training accuracy.: 0.95657; testing accuracy.: 0.94500
Training loss: 1.50614; testing loss: 1.51341;
-------------------------------------------------------------------------------------------
Epoch 293/1000... Training accuracy.: 0.95657; testing accuracy.: 0.96000
Training loss: 1.50614; testing loss: 1.49848;
-------------------------------------------------------------------------------------------
Epoch 294/1000... Training accuracy.: 0.95655; testing accuracy.: 0.95000
Training loss: 1.50613; testing loss: 1.51172;
-------------------------------------------------------------------------------------------
Epoch 295/1000... Training accuracy.: 0.95653; testing accuracy.: 0.93000
Training loss: 1.50612; testing loss: 1.53054;
-------------------------------------------------------------------------------------------
Epoch 296/1000... Training accuracy.: 0.95652; testing accuracy.: 0.92500
Training loss: 1.50611; testing loss: 1.53441;
-------------------------------------------------------------------------------------------
Epoch 297/1000... Training accuracy.: 0.95657; testing accuracy.: 0.97000
Training loss: 1.50611; testing loss: 1.49297;
-------------------------------------------------------------------------------------------
Epoch 298/1000... Training accuracy.: 0.95658; testing accuracy.: 0.92500
Training loss: 1.50610; testing loss: 1.53330;
-------------------------------------------------------------------------------------------
Epoch 299/1000... Training accuracy.: 0.95655; testing accuracy.: 0.94500
Training loss: 1.50609; testing loss: 1.51400;
-------------------------------------------------------------------------------------------
Epoch 300/1000... Training accuracy.: 0.95650; testing accuracy.: 0.91000
Training loss: 1.50609; testing loss: 1.55199;
-------------------------------------------------------------------------------------------
Epoch 301/1000... Training accuracy.: 0.95655; testing accuracy.: 0.93000
Training loss: 1.50608; testing loss: 1.53310;
-------------------------------------------------------------------------------------------
Epoch 302/1000... Training accuracy.: 0.95657; testing accuracy.: 0.92500
Training loss: 1.50608; testing loss: 1.53915;
-------------------------------------------------------------------------------------------
Epoch 303/1000... Training accuracy.: 0.95655; testing accuracy.: 0.91500
Training loss: 1.50608; testing loss: 1.54553;
-------------------------------------------------------------------------------------------
Epoch 304/1000... Training accuracy.: 0.95653; testing accuracy.: 0.89500
Training loss: 1.50607; testing loss: 1.56890;
-------------------------------------------------------------------------------------------
Epoch 305/1000... Training accuracy.: 0.95657; testing accuracy.: 0.92500
Training loss: 1.50606; testing loss: 1.53794;
-------------------------------------------------------------------------------------------
Epoch 306/1000... Training accuracy.: 0.95655; testing accuracy.: 0.93500
Training loss: 1.50605; testing loss: 1.52590;
-------------------------------------------------------------------------------------------
Epoch 307/1000... Training accuracy.: 0.95657; testing accuracy.: 0.91500
Training loss: 1.50604; testing loss: 1.54717;
-------------------------------------------------------------------------------------------
Epoch 308/1000... Training accuracy.: 0.95660; testing accuracy.: 0.89000
Training loss: 1.50603; testing loss: 1.57055;
-------------------------------------------------------------------------------------------
Epoch 309/1000... Training accuracy.: 0.95655; testing accuracy.: 0.93500
Training loss: 1.50604; testing loss: 1.52920;
-------------------------------------------------------------------------------------------
Epoch 310/1000... Training accuracy.: 0.95655; testing accuracy.: 0.95000
Training loss: 1.50602; testing loss: 1.51548;
-------------------------------------------------------------------------------------------
Epoch 311/1000... Training accuracy.: 0.95652; testing accuracy.: 0.91000
Training loss: 1.50602; testing loss: 1.55227;
-------------------------------------------------------------------------------------------
Epoch 312/1000... Training accuracy.: 0.95660; testing accuracy.: 0.93000
Training loss: 1.50601; testing loss: 1.53201;
-------------------------------------------------------------------------------------------
Epoch 313/1000... Training accuracy.: 0.95660; testing accuracy.: 0.91000
Training loss: 1.50601; testing loss: 1.54840;
-------------------------------------------------------------------------------------------
Epoch 314/1000... Training accuracy.: 0.95657; testing accuracy.: 0.96500
Training loss: 1.50599; testing loss: 1.49569;
-------------------------------------------------------------------------------------------
Epoch 315/1000... Training accuracy.: 0.95658; testing accuracy.: 0.92000
Training loss: 1.50599; testing loss: 1.54132;
-------------------------------------------------------------------------------------------
Epoch 316/1000... Training accuracy.: 0.95660; testing accuracy.: 0.91000
Training loss: 1.50597; testing loss: 1.55165;
-------------------------------------------------------------------------------------------
Epoch 317/1000... Training accuracy.: 0.95657; testing accuracy.: 0.91000
Training loss: 1.50598; testing loss: 1.54847;
-------------------------------------------------------------------------------------------
Epoch 318/1000... Training accuracy.: 0.95657; testing accuracy.: 0.93500
Training loss: 1.50596; testing loss: 1.52919;
-------------------------------------------------------------------------------------------
Epoch 319/1000... Training accuracy.: 0.95658; testing accuracy.: 0.93500
Training loss: 1.50596; testing loss: 1.52793;
-------------------------------------------------------------------------------------------
Epoch 320/1000... Training accuracy.: 0.95660; testing accuracy.: 0.92500
Training loss: 1.50595; testing loss: 1.53279;
-------------------------------------------------------------------------------------------
Epoch 321/1000... Training accuracy.: 0.95660; testing accuracy.: 0.94500
Training loss: 1.50594; testing loss: 1.51839;
-------------------------------------------------------------------------------------------
Epoch 322/1000... Training accuracy.: 0.95660; testing accuracy.: 0.96000
Training loss: 1.50594; testing loss: 1.50393;
-------------------------------------------------------------------------------------------
Epoch 323/1000... Training accuracy.: 0.95663; testing accuracy.: 0.92000
Training loss: 1.50594; testing loss: 1.53620;
-------------------------------------------------------------------------------------------
Epoch 324/1000... Training accuracy.: 0.95662; testing accuracy.: 0.95500
Training loss: 1.50593; testing loss: 1.50547;
-------------------------------------------------------------------------------------------
Epoch 325/1000... Training accuracy.: 0.95665; testing accuracy.: 0.94000
Training loss: 1.50593; testing loss: 1.52075;
-------------------------------------------------------------------------------------------
Epoch 326/1000... Training accuracy.: 0.95658; testing accuracy.: 0.94500
Training loss: 1.50593; testing loss: 1.51760;
-------------------------------------------------------------------------------------------
Epoch 327/1000... Training accuracy.: 0.95660; testing accuracy.: 0.92500
Training loss: 1.50590; testing loss: 1.53574;
-------------------------------------------------------------------------------------------
Epoch 328/1000... Training accuracy.: 0.95662; testing accuracy.: 0.94500
Training loss: 1.50592; testing loss: 1.51557;
-------------------------------------------------------------------------------------------
Epoch 329/1000... Training accuracy.: 0.95663; testing accuracy.: 0.94000
Training loss: 1.50590; testing loss: 1.52148;
-------------------------------------------------------------------------------------------
Epoch 330/1000... Training accuracy.: 0.95662; testing accuracy.: 0.93500
Training loss: 1.50590; testing loss: 1.53581;
-------------------------------------------------------------------------------------------
Epoch 331/1000... Training accuracy.: 0.95667; testing accuracy.: 0.90000
Training loss: 1.50588; testing loss: 1.55545;
-------------------------------------------------------------------------------------------
Epoch 332/1000... Training accuracy.: 0.95663; testing accuracy.: 0.91000
Training loss: 1.50589; testing loss: 1.55183;
-------------------------------------------------------------------------------------------
Epoch 333/1000... Training accuracy.: 0.95665; testing accuracy.: 0.91500
Training loss: 1.50587; testing loss: 1.54384;
-------------------------------------------------------------------------------------------
Epoch 334/1000... Training accuracy.: 0.95665; testing accuracy.: 0.92000
Training loss: 1.50588; testing loss: 1.53861;
-------------------------------------------------------------------------------------------
Epoch 335/1000... Training accuracy.: 0.95663; testing accuracy.: 0.91500
Training loss: 1.50586; testing loss: 1.54826;
-------------------------------------------------------------------------------------------
Epoch 336/1000... Training accuracy.: 0.95665; testing accuracy.: 0.95000
Training loss: 1.50585; testing loss: 1.51109;
-------------------------------------------------------------------------------------------
Epoch 337/1000... Training accuracy.: 0.95663; testing accuracy.: 0.93500
Training loss: 1.50585; testing loss: 1.52617;
-------------------------------------------------------------------------------------------
Epoch 338/1000... Training accuracy.: 0.95663; testing accuracy.: 0.92000
Training loss: 1.50586; testing loss: 1.53509;
-------------------------------------------------------------------------------------------
Epoch 339/1000... Training accuracy.: 0.95665; testing accuracy.: 0.98000
Training loss: 1.50584; testing loss: 1.48353;
-------------------------------------------------------------------------------------------
Epoch 340/1000... Training accuracy.: 0.95667; testing accuracy.: 0.93000
Training loss: 1.50584; testing loss: 1.53316;
-------------------------------------------------------------------------------------------
Epoch 341/1000... Training accuracy.: 0.95667; testing accuracy.: 0.93000
Training loss: 1.50583; testing loss: 1.53491;
-------------------------------------------------------------------------------------------
Epoch 342/1000... Training accuracy.: 0.95662; testing accuracy.: 0.94500
Training loss: 1.50583; testing loss: 1.51524;
-------------------------------------------------------------------------------------------
Epoch 343/1000... Training accuracy.: 0.95663; testing accuracy.: 0.92500
Training loss: 1.50582; testing loss: 1.53690;
-------------------------------------------------------------------------------------------
Epoch 344/1000... Training accuracy.: 0.95663; testing accuracy.: 0.91000
Training loss: 1.50583; testing loss: 1.55111;
-------------------------------------------------------------------------------------------
Epoch 345/1000... Training accuracy.: 0.95665; testing accuracy.: 0.92500
Training loss: 1.50581; testing loss: 1.53706;
-------------------------------------------------------------------------------------------
Epoch 346/1000... Training accuracy.: 0.95668; testing accuracy.: 0.94500
Training loss: 1.50580; testing loss: 1.51770;
-------------------------------------------------------------------------------------------
Epoch 347/1000... Training accuracy.: 0.95663; testing accuracy.: 0.90000
Training loss: 1.50581; testing loss: 1.55672;
-------------------------------------------------------------------------------------------
Epoch 348/1000... Training accuracy.: 0.95665; testing accuracy.: 0.91000
Training loss: 1.50579; testing loss: 1.55774;
-------------------------------------------------------------------------------------------
Epoch 349/1000... Training accuracy.: 0.95663; testing accuracy.: 0.90000
Training loss: 1.50580; testing loss: 1.56259;
-------------------------------------------------------------------------------------------
Epoch 350/1000... Training accuracy.: 0.95668; testing accuracy.: 0.92500
Training loss: 1.50577; testing loss: 1.53255;
-------------------------------------------------------------------------------------------
Epoch 351/1000... Training accuracy.: 0.95663; testing accuracy.: 0.92500
Training loss: 1.50578; testing loss: 1.53526;
-------------------------------------------------------------------------------------------
Epoch 352/1000... Training accuracy.: 0.95665; testing accuracy.: 0.94000
Training loss: 1.50577; testing loss: 1.51634;
-------------------------------------------------------------------------------------------
Epoch 353/1000... Training accuracy.: 0.95663; testing accuracy.: 0.91000
Training loss: 1.50579; testing loss: 1.54489;
-------------------------------------------------------------------------------------------
Epoch 354/1000... Training accuracy.: 0.95668; testing accuracy.: 0.89500
Training loss: 1.50576; testing loss: 1.55904;
-------------------------------------------------------------------------------------------
Epoch 355/1000... Training accuracy.: 0.95667; testing accuracy.: 0.94000
Training loss: 1.50575; testing loss: 1.52170;
-------------------------------------------------------------------------------------------
Epoch 356/1000... Training accuracy.: 0.95668; testing accuracy.: 0.95500
Training loss: 1.50574; testing loss: 1.51166;
-------------------------------------------------------------------------------------------
Epoch 357/1000... Training accuracy.: 0.95667; testing accuracy.: 0.95500
Training loss: 1.50574; testing loss: 1.51236;
-------------------------------------------------------------------------------------------
Epoch 358/1000... Training accuracy.: 0.95670; testing accuracy.: 0.87500
Training loss: 1.50574; testing loss: 1.58504;
-------------------------------------------------------------------------------------------
Epoch 359/1000... Training accuracy.: 0.95668; testing accuracy.: 0.93500
Training loss: 1.50573; testing loss: 1.53126;
-------------------------------------------------------------------------------------------
Epoch 360/1000... Training accuracy.: 0.95667; testing accuracy.: 0.89000
Training loss: 1.50572; testing loss: 1.57489;
-------------------------------------------------------------------------------------------
Epoch 361/1000... Training accuracy.: 0.95667; testing accuracy.: 0.89000
Training loss: 1.50573; testing loss: 1.56610;
-------------------------------------------------------------------------------------------
Epoch 362/1000... Training accuracy.: 0.95668; testing accuracy.: 0.94000
Training loss: 1.50571; testing loss: 1.52091;
-------------------------------------------------------------------------------------------
Epoch 363/1000... Training accuracy.: 0.95667; testing accuracy.: 0.92500
Training loss: 1.50572; testing loss: 1.53774;
-------------------------------------------------------------------------------------------
Epoch 364/1000... Training accuracy.: 0.95668; testing accuracy.: 0.90000
Training loss: 1.50571; testing loss: 1.56431;
-------------------------------------------------------------------------------------------
Epoch 365/1000... Training accuracy.: 0.95667; testing accuracy.: 0.90000
Training loss: 1.50571; testing loss: 1.55751;
-------------------------------------------------------------------------------------------
Epoch 366/1000... Training accuracy.: 0.95668; testing accuracy.: 0.93000
Training loss: 1.50570; testing loss: 1.53331;
